BEDROOMS,PROPERTY TYPE,HAS GYM,EN SUITE,SWIMMING POOL,Has DSQ,Has GARDEN,LOCATION,SELLING PRICE 
4,House,0,1,0,0,0,Ngong,"27,000,000"
4,Townhouse,0,1,0,0,0,Kiambu Road,"24,000,000"
3,Townhouse,0,0,0,0,0,Ngong Road,"16,200,000"
3,House,0,1,0,0,0,Ruiru,"6,800,000"
4,House,0,1,0,0,0,Kenyatta Road,"27,000,000"
5,House,0,1,0,0,0,Nyali,"70,000,000"
5,Villa,0,1,0,0,0,Lavington,"65,000,000"
5,House,0,1,0,0,0,Lavington,"75,000,000"
4,Townhouse,0,1,0,0,0,Kamulu Joska Malaa,"11,500,000"
6,House,0,1,0,0,0,Westlands,"295,000,000"
3,NOT PROVIDED,0,0,0,0,0,Buruburu,"10,300,000"
4,Townhouse,0,1,0,0,0,Kilifi,"14,000,000"
4,Townhouse,0,1,0,0,0,Lavington,"75,000,000"
3,House,0,1,0,0,0,Ngumo Estate,"22,500,000"
4,Villa,0,1,0,0,0,Westlands,"85,000,000"
6,Villa,0,1,0,0,0,Lavington,"121,000,000"
3,House,0,1,0,0,1,Mtwapa,"7,500,000"
4,Townhouse,0,1,0,0,0,Athi River,"8,850,000"
5,Villa,0,1,0,0,0,Syokimau,"22,500,000"
4,NOT PROVIDED,0,0,0,0,0,Muthaiga,"170,000,000"
5,NOT PROVIDED,0,0,0,0,0,Kileleshwa,"59,000,000"
4,House,0,1,0,0,0,Nyali,"55,000,000"
5,Villa,0,1,0,1,0,Karen,"99,000,000"
3,House,0,1,0,0,0,Ngong,"7,600,000"
5,House,0,1,0,0,0,Westlands,"83,000,000"
4,House,0,0,0,0,0,Karen Hardy,"75,000,000"
4,Townhouse,0,1,0,0,0,Lavington,"35,000,000"
5,Townhouse,0,1,0,0,0,Ruiru,"20,000,000"
4,Townhouse,0,1,0,0,0,Westlands,"60,000,000"
4,House,0,1,0,0,0,Ruiru,"12,500,000"
5,Villa,0,1,0,0,0,Ngong,"31,000,000"
6,House,0,1,0,0,0,Westlands,"70,000,000"
6,NOT PROVIDED,0,0,0,1,0,Lavington,"121,000,000"
3,House,0,1,0,0,0,Kenyatta Road,"7,700,000"
4,Townhouse,0,1,0,0,0,Westlands,"60,000,000"
5,House,0,0,0,0,0,Westlands,"40,000,000"
5,Townhouse,0,1,0,0,0,Katani,"18,500,000"
5,NOT PROVIDED,0,0,0,0,0,Westlands,"48,000,000"
4,Villa,0,1,0,0,0,Ruiru,"19,500,000"
4,Villa,0,1,0,0,0,Karen,"60,000,000"
5,Villa,0,1,0,0,0,Lavington,"74,000,000"
3,House,0,1,0,0,0,Jumba Ruins,"45,000,000"
3,NOT PROVIDED,0,0,0,0,0,Kitengela,"6,500,000"
4,House,0,1,0,0,0,Kitengela,"15,500,000"
4,House,0,1,0,0,0,Karen,"75,000,000"
4,House,0,1,0,0,0,Muchatha and Banana,"22,500,000"
4,House,0,0,0,0,0,Nanyuki,"69,000,000"
5,House,0,1,0,0,0,Westlands,"160,000,000"
5,House,0,1,0,0,0,Westlands,"145,000,000"
